#time,pitch,yaw,roll,x,y,z
0,21.89997,0.0,-88.95021,256.07037,120.66326999999998,565.72566
100,21.883293592338735,0.0,-88.94519073513258,256.143178399181,120.64658795549353,565.7370864323615
200,21.84588609798442,0.0,-88.93256375441919,256.34681211544626,120.59975186977373,565.7682043059862
300,21.788488813446353,0.0,-88.91271020251068,256.6770501394393,120.5238238475708,565.8187968858148
400,21.711843035233816,0.0,-88.88601122405784,257.129671461805,120.4198659936149,565.8886474367878
500,21.616690059856094,0.0,-88.85284796371127,257.70045507318497,120.28894041263631,565.9775392238456
600,21.50377118382246,0.0,-88.81360156612176,258.3851799642211,120.13210920936436,566.085255511926
700,21.373827703642245,0.0,-88.76865317594007,259.1796251255615,119.95043448853082,566.2115795659755
800,21.22760091582471,0.0,-88.71838393781702,260.0795695478487,119.74497835486571,566.356294650934
900,21.06583211687913,0.0,-88.66317499640323,261.08079222172466,119.5168029130979,566.519184031737
1000,20.88926260331484,0.0,-88.6034074963496,262.1790721378319,119.2669702679583,566.7000309733276
1100,20.69863367164106,0.0,-88.53946258230664,263.3701882868128,118.99654252417645,566.8986187406438
1200,20.49468661836713,0.0,-88.4717213989253,264.6499196593154,118.70658178648326,567.114730598631
1300,20.278162740002315,0.0,-88.40056509085622,266.0140452459829,118.39815015961078,567.3481498122275
1400,20.04980333305592,0.0,-88.32637480275022,267.45834403745476,118.07230974828568,567.5986596463736
1500,19.810349694037207,0.0,-88.24953167925794,268.9785950243765,117.7301226572396,567.8660433660133
1600,19.560543119455502,0.0,-88.17041686503028,270.57057719739163,117.3726509912029,568.1500842360803
1700,19.301124905820092,0.0,-88.08941150471786,272.2300695471421,117.00095685490483,568.450565521512
1800,19.03283634964019,0.0,-88.00689674297146,273.95285106427605,116.61610235307802,568.767270487268
1900,18.75641874742516,0.0,-87.9232537244418,275.7347007394309,116.21914959044953,569.0999823982675
2000,18.47261339568429,0.0,-87.83886359377976,277.5713975632559,115.81116067175248,569.4484845194627
2100,18.182161590926803,0.0,-87.7541074956358,279.45872052638913,115.39319770171495,569.8125601157911
2200,17.885804629662054,0.0,-87.6693665746609,281.392448619478,114.96632278506779,570.1919924521935
2300,17.584283808399306,0.0,-87.58502197550578,283.3683608331646,114.53159802654122,570.5865647936105
2400,17.278340423647848,0.0,-87.50145484282112,285.3822361580917,114.09008553086443,570.9960604049782
2500,16.968715771916965,0.0,-87.41904632125767,287.4298535849065,113.64284740277012,571.4202625512495
2600,16.656151149715946,0.0,-87.33817755546622,289.5069921042475,113.19094574698684,571.8589544973527
2700,16.341387853554085,0.0,-87.25922969009747,291.60943070676024,112.73544266824368,572.3119195082355
2800,16.025167179940667,0.0,-87.18258386980222,293.73294838308834,112.27740027127356,572.7789408488293
2900,15.708230425384986,0.0,-87.10862123923116,295.8733241238741,111.81788066080372,573.2598017840837
3000,15.391318886396302,0.0,-87.03772294303502,298.02633691976445,111.35794594156702,573.7542855789384
3100,15.075173859483932,0.0,-86.97027012586463,300.1877657613974,110.89865821829073,574.2621754983252
3200,14.760536641157152,0.0,-86.90664393237067,302.35338963942365,110.44107959570877,574.7832548071976
3300,14.448148527925262,0.0,-86.84722550720389,304.51898754448047,109.98627217854775,575.3173067704892
3400,14.138750816297538,0.0,-86.792395995015,306.6803384672137,109.53529807154021,575.8641146531378
3500,13.833084802783276,0.0,-86.74253654045486,308.83322139826646,109.0892193794147,576.4234617200887
3600,13.531891783891748,0.0,-86.69802828817413,310.9734153282826,108.64909820690289,576.9951312362821
3700,13.235913056132269,0.0,-86.65925238282357,313.09669924790535,108.21599665873387,577.5789064666548
3800,12.945889916014103,0.0,-86.62658996905387,315.1988521477783,107.79097683963825,578.1745706761512
3900,12.662563660046544,0.0,-86.60042219151586,317.275653018545,107.37510085434597,578.7819071297104
4000,12.386675584738889,0.0,-86.58113019486026,319.3228808508489,106.9694308075878,579.4006990922729
4100,12.118966986600416,0.0,-86.56909512373781,321.33631463533334,106.57502880409322,580.0307298287794
4200,11.860179162140415,0.0,-86.56469812279924,323.31173336264186,106.19295694859298,580.6717826041702
4300,11.611053407868173,0.0,-86.56832033669528,325.24491602341834,105.82427734581692,581.323640683386
4400,11.372331020292982,0.0,-86.58034291007672,327.1316416083057,105.47005210049531,581.9860873313673
4500,11.14475329592413,0.0,-86.60114698759428,328.9676891079478,105.1313433173584,582.6589058130547
4600,10.929061531270904,0.0,-86.63111371389873,330.7488375129881,104.80921310113628,583.3418793933886
4700,10.72599702284259,0.0,-86.67062423364077,332.47086581406984,104.50472355655918,584.0347913373095
4800,10.536301067148473,0.0,-86.72005969147116,334.1295530018369,104.21893678835735,584.737424909758
4900,10.360714960697846,0.0,-86.77980123204065,335.72067806693235,103.9529149012609,585.4495633756746
5000,10.19998,0.0,-86.85023,337.24002,103.70772,586.17099
5100,10.000833172357742,0.0,-86.95996728274329,338.79874894724594,103.46101419602005,586.9597406592785
5200,9.812296412583914,0.0,-87.08597890152745,340.3391835326009,103.217067916785,587.7885531923281
5300,9.634061557833785,0.0,-87.22776368922042,341.8620874446339,102.97600425221258,588.6557768400503
5400,9.465820445262622,0.0,-87.38482047869026,343.3682243719141,102.73794629222041,589.559760843346
5500,9.307264912025698,0.0,-87.55664810280493,344.8583580030106,102.50301712672618,590.4988544431167
5600,9.158086795278281,0.0,-87.74274539443243,346.3332520264924,102.2713398456476,591.4714068802638
5700,9.017977932175643,0.0,-87.9426111864408,347.79367013092855,102.04303753890231,592.4757673956888
5800,8.88663015987305,0.0,-88.15574431169797,349.24037600488833,101.81823329640801,593.510285230293
5900,8.763735315525775,0.0,-88.38164360307198,350.67413333694077,101.5970502080824,594.5733096249777
6000,8.64898523628909,0.0,-88.61980789343087,352.0957058156549,101.37961136384307,595.6631898206441
6100,8.542071759318256,0.0,-88.86973601564259,353.5058571295998,101.16603985360778,596.7782750581939
6200,8.44268672176855,0.0,-89.13092680257515,354.9053509673447,100.95645876729418,597.9169145785283
6300,8.350521960795241,0.0,-89.40287908709655,356.29495101745846,100.75099119481996,599.0774576225485
6400,8.265269313553599,0.0,-89.68509170207479,357.6754209685105,100.54976022610279,600.2582534311562
6500,8.186620617198892,0.0,-89.97706348037786,359.04752450906955,100.35288895106032,601.4576512452524
6600,8.114267708886393,0.0,-90.27829325487383,360.4120253277048,100.16050045961023,602.6740003057384
6700,8.047902425771365,0.0,-90.58827985843061,361.76968711298554,99.97271784167027,603.905649853516
6800,7.987216605009083,0.0,-90.90652212391623,363.12127355348076,99.78966418715801,605.1509491294862
6900,7.931902083754819,0.0,-91.23251888419868,364.46754833775935,99.61146258599122,606.4082473745506
7000,7.881650699163837,0.0,-91.565768972146,365.8092751543908,99.43823612808754,607.6758938296105
7100,7.836154288391409,0.0,-91.90577122062615,367.14721769194387,99.27010790336462,608.9522377355669
7200,7.795104688592808,0.0,-92.25202446250717,368.48213963898763,99.10720100174018,610.2356283333215
7300,7.758193736923301,0.0,-92.60402753065702,369.81480468409154,98.94963851313187,611.5244148637756
7400,7.725113270538156,0.0,-92.96127925794373,371.1459765158244,98.79754352745738,612.8169465678307
7500,7.6955551265926445,0.0,-93.32327847723526,372.47641882275525,98.65103913463439,614.111572686388
7600,7.669211142242039,0.0,-93.68952402139965,373.80689529345335,98.51024842458054,615.4066424603486
7700,7.6457731546416055,0.0,-94.05951472330489,375.13816961648763,98.37529448721355,616.7005051306143
7800,7.624933000946614,0.0,-94.43274941581896,376.4710054804274,98.24630041245109,617.9915099380861
7900,7.6063825183123335,0.0,-94.8087269318099,377.80616657384155,98.12338929021085,619.2780061236658
8000,7.589813543894042,0.0,-95.18694610414569,379.14441658529927,98.00668421041047,620.5583429282544
8100,7.574917914846999,0.0,-95.5669057656943,380.48651920336965,97.89630826296764,621.8308695927533
8200,7.56138746832648,0.0,-95.94810474932379,381.8332381166217,97.79238453780005,623.0939353580638
8300,7.548914041487752,0.0,-96.33004188790214,383.1853370136247,97.69503612482538,624.3458894650875
8400,7.537189471486087,0.0,-96.71221601429733,384.5435795829474,97.60438611396125,625.5850811547255
8500,7.52590559547675,0.0,-97.09412596137733,385.9087295131593,97.52055759512542,626.8098596678792
8600,7.514754250615018,0.0,-97.47527056201022,387.28155049282924,97.44367365823554,628.0185742454502
8700,7.503427274056156,0.0,-97.85514864906398,388.66280621052636,97.37385739320928,629.2095741283397
8800,7.491616502955436,0.0,-98.23325905540653,390.05326035481977,97.31123188996429,630.3812085574489
8900,7.479013774468127,0.0,-98.60910061390598,391.45367661427855,97.25592023841828,631.5318267736793
9000,7.465310925749497,0.0,-98.98217215743028,392.8648186774718,97.20804552848892,632.6597780179322
9100,7.450199793954818,0.0,-99.35197251884736,394.28745023296864,97.16773085009389,633.763411531109
9200,7.43337221623936,0.0,-99.71800053102537,395.722334969338,97.13509929315086,634.841076554111
9300,7.414520029758393,0.0,-100.07975502683223,397.1702365751493,97.1102739475775,635.8911223278399
9400,7.393335071667183,0.0,-100.43673483913588,398.63191873897136,97.09337790329154,636.9118980931967
9500,7.369509179121005,0.0,-100.78843880080446,400.10814514937323,97.08453425021054,637.9017530910826
9600,7.342734189275127,0.0,-101.13436574470586,401.59967949492415,97.08386607825231,638.8590365623991
9700,7.312701939284816,0.0,-101.47401450370809,403.10728546419324,97.09149647733446,639.7820977480482
9800,7.279104266305344,0.0,-101.80688391067922,404.6317267457495,97.10754853737467,640.6692858889303
9900,7.241633007491982,0.0,-102.13247279848717,406.17376702816205,97.13214534829063,641.5189502259469
10000,7.19998,0.0,-102.45028000000002,407.73417,97.16541,642.32944
