#time,pitch,yaw,roll,x,y,z
0,22.2,0.0,3.74993,-254.72671999999997,113.88713999999999,103.24813999999999
100,22.153767221611773,0.0,3.7653628036835074,-254.85116785962455,113.86663591756826,103.29767209651166
200,22.029004267942735,0.0,3.806745033867953,-255.20811673519816,113.80743383383546,103.43832788711858
300,21.82890813458668,0.0,3.87307364526518,-255.78896970490885,113.71136666950188,103.66819294936718
400,21.55667581713744,0.0,3.9633455925870362,-256.585129846947,113.58026734526695,103.98535286080396
500,21.21550431118874,0.0,4.076557830545367,-257.5880002394951,113.41596878182978,104.38789319897441
600,20.80859061233444,0.0,4.211707313852016,-258.7889839607441,113.22030389989224,104.87389954142694
700,20.33913171616831,0.0,4.367790997218837,-260.1794840888871,112.99510562015193,105.44145746570567
800,19.81032461828419,0.0,4.543805835357653,-261.75090370209955,112.7422068633087,106.08865254935766
900,19.225366314275753,0.0,4.7387487829803465,-263.4946458785788,112.46344055006477,106.81357036992917
1000,18.587453799736952,0.0,4.951616794798722,-265.40211369650774,112.16063960111565,107.61429650496542
1100,17.89978407026141,0.0,5.181406825524659,-267.4647102340807,111.83563693716573,108.48891653201608
1200,17.165554121443023,0.0,5.427115829869981,-269.67383856947686,111.4902654789103,109.43551602862405
1300,16.387960948875772,0.0,5.687740762546567,-272.0209017808924,111.12635814705244,110.45218057233677
1400,15.570201548153143,0.0,5.962278578266224,-274.4973029465088,110.7457478622917,111.53699574070056
1500,14.715472914868936,0.0,6.249726231740796,-277.0944451445124,110.35026754532413,112.68804711125992
1600,13.826972044617287,0.0,6.549080677682161,-279.80373145310165,109.9417501168549,113.90342026156645
1700,12.90789593299166,0.0,6.859338870802164,-282.6165649504537,109.52202849758027,115.181200769162
1800,11.961441575585962,0.0,7.179497765812618,-285.52434871475987,109.09293560820078,116.51947421159224
1900,10.99080596799386,0.0,7.50855431742538,-288.51848582421064,108.6563043694162,117.91632616640719
2000,9.999186105809532,0.0,7.845505480352312,-291.5903793569829,108.21396770192634,119.36984221114693
2100,8.98977898462639,0.0,8.189348209305262,-294.7314323912832,107.76775852643084,120.87810792336586
2200,7.9657816000382935,0.0,8.539079458996042,-297.933048005281,107.31950976363068,122.43920888060492
2300,6.930390947639178,0.0,8.893696184136525,-301.1866292771744,106.87105433422322,124.05123066041176
2400,5.886804023022763,0.0,9.252195339438574,-304.4835792851486,106.42422515890942,125.71225884033268
2500,4.8382178217829015,0.0,9.613573879613996,-307.8153011073913,105.9808551583881,127.42037899791396
2600,3.7878293395132765,0.0,9.976828759374653,-311.1731978220904,105.54277725336092,129.1736767107019
2700,2.7388355718076993,0.0,10.340956933432388,-314.548672507432,105.11182436452589,130.97023755624207
2800,1.694433514260095,0.0,10.704955356499056,-317.93312824161006,104.68982941258506,132.80814711208308
2900,0.6578201624640911,0.0,11.067820983286483,-321.3179681028047,104.27862531823584,134.68549095576884
3000,-0.3678074879863553,0.0,11.428550768506549,-324.6945951692022,103.88004500217819,136.60035466484538
3100,-1.3792524414976004,0.0,11.786141666871071,-328.05441251900425,103.49592138511414,138.55082381686242
3200,-2.373317702475713,0.0,12.139590633091894,-331.3888232303847,103.12808738774007,140.53498398936276
3300,-3.346806275326992,0.0,12.487894621880887,-334.6892303815342,102.77837593075793,142.55092075989387
3400,-4.296521164457605,0.0,12.830050587949874,-337.94703705064416,102.44861993486695,144.5967197060021
3500,-5.2192653742737605,0.0,13.1650554860107,-341.15364631590194,102.14065232076685,146.67046640523407
3600,-6.111841909181665,0.0,13.491906270775232,-344.3004612554922,101.85630600915736,148.7702464351353
3700,-6.97105377358752,0.0,13.8095998969553,-347.3788849476035,101.59741392073826,150.89414537325206
3800,-7.793703971897525,0.0,14.11713331926275,-350.3803204704265,101.36580897620931,153.04024879713216
3900,-8.576595508517906,0.0,14.413503492409426,-353.29617090214606,101.16332409627023,155.2066422843203
4000,-9.316531387854816,0.0,14.697707371107184,-356.1178393209496,100.99179220162046,157.39141141236303
4100,-10.010314614314533,0.0,14.968741910067864,-358.83672880502814,100.85304621296066,159.59264175880736
4200,-10.6547481923032,0.0,15.22560406400331,-361.4442424325673,100.74891905098971,161.8084189011994
4300,-11.246635126227034,0.0,15.467290787625366,-363.9317832817545,100.6812436364076,164.03682841708485
4400,-11.78277842049226,0.0,15.692799035645885,-366.29075443077795,100.65185288991411,166.27595588401056
4500,-12.25998107950507,0.0,15.90112576277671,-368.51255895782595,100.66257973220907,168.52388687952282
4600,-12.675046107671662,0.0,16.09126792372968,-370.5885999410858,100.71525708399201,170.77870698116755
4700,-13.024776509398247,0.0,16.262222473216656,-372.5102804587453,100.81171786596283,173.03850176649135
4800,-13.305975289091032,0.0,16.412986365949468,-374.2690035889923,100.9537949988213,175.30135681304057
4900,-13.515445451156213,0.0,16.54255655663997,-375.8561724100146,101.1433214032671,177.5653576983613
5000,-13.649990000000003,0.0,16.649930000000005,-377.26319,101.38213,179.82859
5100,-13.717828282809494,0.0036097049723200123,16.75874833178905,-378.16295995726546,101.59416607466005,181.49676551546767
5200,-13.662487986379048,0.014144150095621177,16.82459628389518,-378.97832011568516,101.84977422077137,183.25056318829593
5300,-13.4888773706795,0.031161330679415476,16.849445682773602,-379.7131629796326,102.1468496607186,185.0854789364164
5400,-13.201904695681694,0.05421924203321452,16.835268354879535,-380.37138105348174,102.48328761688649,186.99700867776068
5500,-12.806478221356466,0.08287587946653045,16.784036126668177,-380.9568668416058,102.85698331165958,188.9806483302604
5600,-12.307506207674658,0.11668923828887497,16.69772082459474,-381.4735128483785,103.26583196742253,191.03189381184717
