#time,pitch,yaw,roll,x,y,z
0,15.000003,92.999985,0.0,768.3835340322883,116.92137437206995,-27.26221995772862
100,14.990642075506514,92.9150038648084,-0.01918247804030304,768.3120351035266,116.90252162421804,-27.30415012098962
200,14.964402616477265,92.676300778975,-0.07317933907596522,768.1113780377573,116.84927456339169,-27.42291208081194
300,14.921919533526056,92.2898736196067,-0.16058207580742886,767.7854209502971,116.76285734042838,-27.615577733169527
400,14.86382773726676,91.76172026381039,-0.2799821809351364,767.3380219564671,116.64449410616558,-27.879218974036583
500,14.790762138313179,91.09783858869298,-0.42997114715952994,766.7730391715797,116.49540901144111,-28.210907699387118
600,14.703357647279102,90.30422647136113,-0.6091404671810521,766.0943307109579,116.31682620709023,-28.607715805195006
700,14.602249174778482,89.38688178892276,-0.8160816337001451,765.3057546899281,116.109969843955,-29.066715187434852
800,14.488071631425003,88.35180241848377,-1.0493861394172515,764.4111692237951,115.87606407286808,-29.5849777420802
900,14.361459927832554,87.20498623715145,-1.3076454770328134,763.4144324278774,115.6163330446695,-30.1595753651051
1000,14.22304897461487,85.95243112203184,-1.5894511392472728,762.3194024175042,115.33200091019681,-30.787579952484112
1100,14.073473682386002,84.60013495023419,-1.8933946187610724,761.129937307993,115.02429182028621,-31.466063400190826
1200,13.913368961759563,83.15409559886345,-2.2180674082746545,759.8498952146488,114.6944299257747,-32.192097604199205
1300,13.743369723349382,81.62031094502659,-2.5620610004884625,758.4831342528071,114.34363937750292,-32.96275446048409
1400,13.564110877769409,80.00477886583249,-2.923966888102936,757.0335125377776,113.97314432630509,-33.775105865018745
1500,13.376227335633526,78.31349723838522,-3.3023765638185223,755.5048881848684,113.58416892301987,-34.62622371377753
1600,13.180354007555316,76.5524639397936,-3.695881520335657,753.9011193094162,113.17793731848377,-35.513179902734485
1700,12.97712580414873,74.72767684716406,-4.103073250354787,752.2260640267257,112.75567366353604,-36.43304632786348
1800,12.767177636027506,72.84513383760435,-4.522543246576355,750.4835804521342,112.31860210901398,-37.38289488513918
1900,12.551144413805652,70.91083278821947,-4.9528830017008,748.6775267009409,111.86794680575346,-38.35979747053504
2000,12.329661048096895,68.9307715761172,-5.392684008428567,746.8117608884711,111.40493190459281,-39.36082598002534
2100,12.103362449515146,66.91094807840605,-5.840537759460097,744.8901411300428,110.93078155636944,-40.38305230958412
2200,11.872883528674059,64.85736017219104,-6.295035747495835,742.9165255409744,110.44671991192081,-41.42354835518546
2300,11.63885919618755,62.776005734579186,-6.75476946523622,740.8947722365848,109.95397112208391,-42.47938601280343
2400,11.401924362669384,60.67288264267905,-7.218330405381695,738.828739332188,109.45375933769627,-43.54763717841185
2500,11.16271393873351,58.55398877359546,-7.684310060632705,736.7222849431176,108.9473087095986,-44.62537374798559
2600,10.921862834993636,56.425322004436865,-8.151299923689688,734.5792671846734,108.43584338862274,-45.709667617497594
2700,10.680005962063792,54.29288021231008,-8.617891487253091,732.4035441721782,107.92058752560986,-46.79759068292287
2800,10.437778230557461,52.16266127432123,-9.082676244023352,730.1989740209596,107.40276527139719,-47.886214840234715
2900,10.195814551088834,50.040663067577675,-9.544245686700918,727.9694148463269,106.88360077682012,-48.972611985407916
3000,9.954749834271475,47.93288346918605,-10.001191307986227,725.7187247635969,106.36431819271874,-50.053854014415855
3100,9.715218990719293,45.84532035625389,-10.452104600579721,723.4507618881021,105.8461416699281,-51.12701282323324
3200,9.47785693104612,43.78397160588781,-10.895577057181846,721.1693843351467,105.33029535928742,-52.18916030783352
3300,9.243298565865725,41.754835095194736,-11.330200170493043,718.8784502200539,104.81800341163395,-53.23736836419131
3400,9.012178805792091,39.76390870128181,-11.754565433213752,716.5818176581391,104.31048997780357,-54.268708888280216
3500,8.785132561438846,37.81719030125538,-12.167264338044426,714.2833447647272,103.8089792086364,-55.28025377607468
3600,8.562794743419989,35.92067777222307,-12.56688837768549,711.9868896551355,103.31469525496743,-56.269074923548445
3700,8.345800262349226,34.080368991291465,-12.952029044837397,709.6963104446775,102.82886226763546,-57.23224422667587
3800,8.134784028840421,32.30226183556719,-13.32127783220059,707.415465248672,102.35270439747777,-58.16683358143072
3900,7.930380953507375,30.592354182157923,-13.673226232475503,705.148212182442,101.88744579533127,-59.06991488378735
